state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude
Colorado,Douglas,08035,2012,TTHM (total trihalomethanes),Year,0,23.8,38.4,80,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2012,TTHM (total trihalomethanes),Quarter,1,24.8,NA,80,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2012,TTHM (total trihalomethanes),Quarter,2,33.7,NA,80,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2012,TTHM (total trihalomethanes),Quarter,3,33.5,NA,80,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2012,TTHM (total trihalomethanes),Quarter,4,3.4,NA,80,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,1999,TTHM (total trihalomethanes),Year,0,39.1,88,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,1999,TTHM (total trihalomethanes),Quarter,1,13,13,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,1999,TTHM (total trihalomethanes),Quarter,3,88,88,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,1999,TTHM (total trihalomethanes),Quarter,4,16.3,16.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2005,TTHM (total trihalomethanes),Year,0,40.7,65.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2005,TTHM (total trihalomethanes),Quarter,1,34.8,36.7,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2005,TTHM (total trihalomethanes),Quarter,2,61.3,65.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2005,TTHM (total trihalomethanes),Quarter,3,52.7,63.1,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2005,TTHM (total trihalomethanes),Quarter,4,15.3,53.2,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.93
Colorado,Douglas,08035,2006,TTHM (total trihalomethanes),Year,0,30.8,49.6,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2006,TTHM (total trihalomethanes),Quarter,1,28.8,44.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
