state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude,over_limit_by
Colorado,Adams,08001,2012,TTHM (total trihalomethanes),Year,0,36.5,97.8,80,ug/L,CO0101025,Brighton City Of,GU,32700,39.97,-104.83,+17.8 ug/L
Colorado,Adams,08001,2012,TTHM (total trihalomethanes),Year,0,67.8,101.6,80,ug/L,CO0101675,Riverdale Peaks Ii Md,GW,70,39.94,-104.88,+21.6 ug/L
Colorado,Adams,08001,2012,TTHM (total trihalomethanes),Quarter,4,101.6,NA,80,ug/L,CO0101675,Riverdale Peaks Ii Md,GW,70,39.94,-104.88,+21.6 ug/L
Colorado,Archuleta,08007,2012,TTHM (total trihalomethanes),Year,0,50,104.8,80,ug/L,CO0104300,Pagosa Area Wsd,SW,14366,37.21,-107.02,+24.8 ug/L
Colorado,Boulder,08013,2012,TTHM (total trihalomethanes),Year,0,60.3,94,80,ug/L,CO0107471,Left Hand Wd,SW,18778,39.98,-105.33,+14 ug/L
Colorado,Boulder,08013,2012,TTHM (total trihalomethanes),Year,0,66.8,108,80,ug/L,CO0107473,Lafayette City Of,SW,27651,40.16,-105.42,+28 ug/L
Colorado,Boulder,08013,2012,TTHM (total trihalomethanes),Year,0,60.5,93.7,80,ug/L,CO0107610,Pine Brook Hills Wd,SW,1100,40.17,-105.53,+13.7 ug/L
Colorado,Boulder,08013,2012,TTHM (total trihalomethanes),Quarter,4,93.7,NA,80,ug/L,CO0107610,Pine Brook Hills Wd,SW,1100,40.17,-105.53,+13.7 ug/L
Colorado,Clear Creek,08019,2012,TTHM (total trihalomethanes),Year,0,51.4,97.1,80,ug/L,CO0110020,Idaho Springs City Of,SW,2884,39.73,-105.56,+17.1 ug/L
Colorado,Clear Creek,08019,2012,TTHM (total trihalomethanes),Quarter,3,97.1,NA,80,ug/L,CO0110020,Idaho Springs City Of,SW,2884,39.73,-105.56,+17.1 ug/L
Colorado,Dolores,08033,2012,TTHM (total trihalomethanes),Year,0,59.5,82.1,80,ug/L,CO0117300,Dove Creek Town Of,SW,850,37.75,-108.9,+2.1 ug/L
Colorado,Dolores,08033,2012,TTHM (total trihalomethanes),Quarter,3,82.1,NA,80,ug/L,CO0117300,Dove Creek Town Of,SW,850,37.75,-108.9,+2.1 ug/L
Colorado,El Paso,08041,2012,TTHM (total trihalomethanes),Year,0,63.4,91.4,80,ug/L,CO0121725,Rock Creek Mesa,SW,869,38.72,-104.82,+11.4 ug/L
Colorado,El Paso,08041,2012,TTHM (total trihalomethanes),Quarter,3,91.4,NA,80,ug/L,CO0121725,Rock Creek Mesa,SW,869,38.72,-104.82,+11.4 ug/L
Colorado,El Paso,08041,2012,TTHM (total trihalomethanes),Quarter,4,80.6,NA,80,ug/L,CO0121725,Rock Creek Mesa,SW,869,38.72,-104.82,+0.6 ug/L
Colorado,El Paso,08041,2012,TTHM (total trihalomethanes),Year,0,63.7,110,80,ug/L,CO0121845,Us Air Force Academy,SWP,15200,39.05,-104.79,+30 ug/L
